,Short Name,Reference
126,Woodroffe (1986) herbs,"Woodroffe, C.D. (1986) Vascular plant species-area relationships on Nui Atoll, Tuvalu, Central Pacific: a reassessment of the small island effect. Australian Journal of Ecology, 11, 21–31."
127,Woodroffe (1986) shrubs,"Woodroffe, C.D. (1986) Vascular plant species-area relationships on Nui Atoll, Tuvalu, Central Pacific: a reassessment of the small island effect. Australian Journal of Ecology, 11, 21–31."
128,Woodroffe (1986) trees,"Woodroffe, C.D. (1986) Vascular plant species-area relationships on Nui Atoll, Tuvalu, Central Pacific: a reassessment of the small island effect. Australian Journal of Ecology, 11, 21–31."
129,Yimingetal(1998),"Yiming, L., Niemela, J. & Dianmo, L. (1998) Nested distribution of amphibians in the Zhoushan archipelago, China: can selective extinction cause nested subsets of species? Oecologia, 113, 557–564."
130,aguilar-santelises & del castillo (2013) trees ,"Aguilar-Santelises, R., & del Castillo, R. F. (2013). Factors affecting woody plant species diversity of fragmented seasonally dry oak forests in the Mixteca Alta, Oaxaca, Mexico. Revista Mexicana de Biodiversidad, 84, 575-590."
131,aranda & Graciolli (2016) mutillidae ,"Aranda, R., & Graciolli, G. (2016). Protocol for collecting Mutillidae (Hymenoptera, Aculeata) in ecological studies: species–area effects on Mutillidae communities. Revista Brasileira de Entomologia, 60, 312-318."
132,asfora & pontes (2009) small mammals,"Asfora, P. H., & Pontes, A. R. M. (2009). The small mammals of the highly impacted North-eastern Atlantic Forest of Brazil, Pernambuco Endemism Center. Biota Neotropica, 9, 0-0."
133,Barrantes et al (2016) costa rica birds,"Barrantes, G., Ocampo, D., Ramírez-Fernández, J. D., & Fuchs, E. J. (2016). Effect of fragmentation on the Costa Rican dry forest avifauna. PeerJ, 4, e2422."
134,battisti et al (2009) Anzio,"Battisti, C., Luiselli, L., Frank, B., & Lorenzetti, E. (2009). Should fragment area reduction be considered a stress for forest bird assemblages? Evidence from diversity/dominance diagrams. Community Ecology, 10, 189-195."
135,battisti et al (2009) cornicolan hills,"Battisti, C., Luiselli, L., Frank, B., & Lorenzetti, E. (2009). Should fragment area reduction be considered a stress for forest bird assemblages? Evidence from diversity/dominance diagrams. Community Ecology, 10, 189-195."
136,benchimol & venticinque (2014) primates,"Benchimol, M., & Venticinque, E. M. (2014). Responses of Primates to Landscape Change in Amazonian Land-bridge islands—a Multi-scale Analysis. Biotropica, 46, 470-478."
137,Browne & Karubian (2016) palms,"Browne, L., & Karubian, J. (2016). Diversity of palm communities at different spatial scales in a recently fragmented tropical landscape. Botanical Journal of the Linnean Society, 182, 451-464."
138,Baldi & Kisbenedek (1999) ,"Báldi, A. & Kisbenedek, T. (1999) Orthopterans in small steppe patches: an investigation for the best-fit model of the species-area curve and evidences for their non-random distribution in the patches. Acta Oecologica, 20, 125-132."
139,Behle(1978),"Behle, W.H. (1978) Avian biogeography of the Great Basin and intermountain region. Great Basin Naturalist Memoirs, 2, 55-80."
140,benedicketal(2006),"Benedick, S., Hill, J.K., Mustaffa, N., Chey, V.K., Maryati, M., Searle, J.B., Schilthuizen, M. & Hamer, K.C. (2006) Impacts of rain forest fragmentation on butterflies in northern Borneo: species richness, turnover and the value of small fragments. Journal of Applied Ecology, 43, 967-977."
141,Blake and Carr (1984) ,"Blake, J.G. & Karr, J.R. (1984) Species composition of bird communities and the conservation benefit of large versus small forests. Biological Conservation, 30, 173-187."
142,brotons and herrando (2001) ,"Brotons, L. & Herrando, S. (2001) Reduced bird occurrence in pine forest fragments associated with road proximity in a Mediterranean agricultural area. Landscape and Urban Planning, 57, 77-89."
143,Brown (1971) ,"Brown, J.H. (1971) Mammals on mountaintops: nonequilibrium insular biogeography. The American Naturalist, 105, 467-478."
144,Brown (1978) birds ,"Brown, J.H. (1978) The theory of island biogeography and the distribution of boreal birds and mammals. Great Basin Naturalist Memoirs, 2, 209-227."
145,Brown (1978) mammals ,"Brown, J.H. (1978) The theory of island biogeography and the distribution of boreal birds and mammals. Great Basin Naturalist Memoirs, 2, 209-227."
146,Cabrera-Guzmán & reynoso (2012) ,"Cabrera-Guzmán, E. & Reynoso, V. (2012) Amphibian and reptile communities of rainforest fragments: minimum patch size to support high richness and abundance. Biodiversity and Conservation, 21, 3243-3265."
147,Castellettaetal(2005),"Castelletta, M., Thiollay, J.-M. & Sodhi, N.S. (2005) The effects of extreme forest fragmentation on the bird community of Singapore Island. Biological Conservation, 121, 135-155."
148,Charles & Ang (2010) ,"Charles, J. & Ang, B. (2010) Non-volant small mammal community responses to fragmentation of kerangas forests in Brunei Darussalam. Biodiversity and Conservation, 19, 543-561."
149,Cieslak & Dombrowski (1993) ,"Cieslak, M. & Dombrowski, A. (1993) The effect of forest size on breeding bird communities. Acta Ornithologica, 27, 97-111."
150,Crooks (2002) ,"Crooks, K.R. (2002) Relative sensitivities of mammalian carnivores to habitat fragmentation. Conservation Biology, 16, 488-502."
151,Crowe (1979) ,"Crowe, T.M. (1979) Lots of weeds: insular phytogeography of vacant urban lots. Journal of Biogeography, 6, 169-181."
152,Daily & Ehrlich (1995) ,"Daily, G.C. & Ehrlich, P.R. (1995) Preservation of biodiversity in small rainforest patches: rapid evaluations using butterfly trapping. Biodiversity and Conservation, 4, 35-55."
153,Daleckyetal(2002),"Dalecky, A., Chauvet, S., Ringuet, S., Claessens, O., Judas, J., Larue, M. A., & Cosson, J.-F. (2002). Large mammals on small islands: short term effects of forest fragmentation on the large mammal fauna in French Guiana. Revue d'écologie, 57, 145-164."
154,Darlington(2001),"Darlington, J.P.E.C., Kaib, M. & Brand, R. (2001) Termites (Isoptera) in forest remnants and forest islands in the Shimba Hills National Reserve, Coastal Province of Kenya. Sociobiology, 37, 527-538."
155,Daviesetal(2003),"Davies, R. G., Hernández, L. M., Eggleton, P., Didham, R. K., Fagan, L. L., & Winchester, N. N. (2003). Environmental and spatial influences upon species composition of a termite assemblage across Neotropical forest islands. Journal of Tropical Ecology, 19, 509-524."
156,Davisetal(1988),"Davis, R., Dunford, C. & Lomolino, M.V. (1988) Montane mammals of the American Southwest: the possible influence of post-Pleistocene colonization. Journal of Biogeography, 15, 841-848."
157,Dickman (1987) mammals scrub,"Dickman, C.R. (1987) Habitat fragmentation and vertebrate species richness in an urban environment. Journal of Applied Ecology, 24, 337-351."
158,Dickman (1987) mammals woods ,"Dickman, C.R. (1987) Habitat fragmentation and vertebrate species richness in an urban environment. Journal of Applied Ecology, 24, 337-351."
159,dinesen et al (2001) primates,"Dinesen, L., Lehmberg, T., Rahner, M.C. & Fjeldså, J. (2001) Conservation priorities for the forests of the Udzungwa Mountains, Tanzania, based on primates, duikers and birds. Biological Conservation, 99, 223-236."
160,dosAnjosandBoçon1999,"dos Anjos, L. & Boçon, R. (1999) Bird communities in natural forest patches in southern Brazil. The Wilson Bulletin, 111, 397-414."
161,dosSantosetal(2007),"dos Santos, K., Kinoshita, L.S. & dos Santos, F.A.M. (2007) Tree species composition and similarity in semideciduous forest fragments of southeastern Brazil. Biological Conservation, 135, 268-277."
162,Edenius & Sjoberg (1997) ,"Edenius, L. & Sjöberg, K. (1997) Distribution of birds in natural landscape mosaics of old-growth forests in northern Sweden: relations to habitat area and landscape context. Ecography, 20, 425-431."
163,Essl & dirnbock (2012) ,"Essl, F. & Dirnböck, T. (2012) What determines Orthoptera species distribution and richness in temperate semi-natural dry grassland remnants? Biodiversity and Conservation, 21, 2525-2537."
164,Feeley (2003) ,"Feeley, K. (2003) Analysis of avian communities in Lake Guri, Venezuela, using multiple assembly rule models. Oecologia, 137, 104-113."
165,FernandezJuiricic(2000),"Fernández-Juricic, E. (2000) Bird community composition patterns in urban parks of Madrid: the role of age, size and isolation. Ecological Research, 15, 373-383."
166,Filgueiras et al (2011) ,"Filgueiras, B.K.C., Iannuzzi, L. & Leal, I.R. (2011) Habitat fragmentation alters the structure of dung beetle communities in the Atlantic Forest. Biological Conservation, 144, 362-369."
167,Flashpoler et al (2010) ,"Flaspohler, D.J., Giardina, C.P., Asner, G.P., Hart, P., Price, J., Lyons, C.K.a. & Castaneda, X. (2010) Long-term effects of fragmentation and fragment properties on bird species richness in Hawaiian forests. Biological Conservation, 143, 280-288."
168,Ford (1987) ,"Ford, H.A. (1987) Bird communities on habitat islands in England. Bird Study, 34, 205 - 218."
169,Galle(2008),"Galle, R. (2008) The effect of a naturally fragmented landscape on the spider assemblages. North-Western Journal of Zoology, 4, 61-71."
170,Galli et al (1976) ,"Galli, A.E., Leck, C.F. & Forman, R.T.T. (1976) Avian distribution patterns in forest islands of different sizes in central New Jersey. The Auk, 93, 356-364."
171,Ganzhornetal(1999)Lemurs&Rodents,"Ganzhorn, J.U., Fietz, J., Rakotovao, E., Schwab, D. & Zinner, D. (1999) Lemurs and the regeneration of dry deciduous forest in Madagascar. Conservation Biology, 13, 794-804."
172,Gaublomme wt al (2008) ,"Gaublomme, E., Hendrickx, F., Dhuyvetter, H. & Desender, K. (2008) The effects of forest patch size and matrix type on changes in carabid beetle assemblages in an urbanized landscape. Biological Conservation, 141, 2585-2596."
173,Gavishetal(2012),"Gavish, Y., Ziv, Y. & Rosenzweig, M.L. (2012) Decoupling fragmentation from habitat loss for spiders in patchy agricultural landscapes. Conservation Biology, 26, 150-159."
174,Gavishetal(2012)2,"Gavish, Y., Ziv, Y. & Rosenzweig, M.L. (2012) Decoupling fragmentation from habitat loss for spiders in patchy agricultural landscapes. Conservation Biology, 26, 150-159."
175,Gillespie & Walter (2001) ,"Gillespie, T.W. & Walter, H. (2001) Distribution of bird species richness at a regional scale in tropical dry forest of Central America. Journal of Biogeography, 28, 651-662."
176,Haila et al (1993) ,"Haila, Y., Hanski, I.K. & Raivio, S. (1993) Turnover of breeding birds in small forest fragments: the ""sampling"" colonization hypothesis corroborated. Ecology, 74, 714-725"
177,Hatt (1948) amphibians,"Hatt, R. (1948) Island life: a study of land vertebrates of the islands of eastern Lake Michigan. Cranbrook Institute of Science, Michigan."
178,Hatt (1948) birds ,"Hatt, R. (1948) Island life: a study of land vertebrates of the islands of eastern Lake Michigan. Cranbrook Institute of Science, Michigan."
179,Hatt (1948) mammals ,"Hatt, R. (1948) Island life: a study of land vertebrates of the islands of eastern Lake Michigan. Cranbrook Institute of Science, Michigan."
180,Hattori & Ishida (2000) ,"Hattori, T. & Ishida, H. (2000) Relationship between species diversity, species composition and forest area of fragmented lucidophyllous forests in central Miyazaki Prefecture. Japanese Journal of Ecology, 50, 221-234."
181,holbech 2005 ,"Holbech, L.H. (2005) The implications of selective logging and forest fragmentation for the conservation of avian diversity in evergreen forests of south-west Ghana. Bird Conservation International, 15, 27-52."
182,Hu et al (2012) ,"Hu, G., Wu, J., Feeley, K.J., Xu, G. & Yu, M. (2012) The effects of landscape variables on the species-area relationship during late-stage habitat fragmentation. PLOS ONE, 7, e43894."
183,Ishida et al (1998) ,"Ishida, H., Hattori, T., Takeda, Y. & Kodate, S. (1998) Relationship between species richness or species composition and area of fragmented lucidophyllous forests in southeastern Hyogo Prefecture. Japanese Journal of Ecology, 48, 1-16."
184,Johnson (1975) ,"Johnson, N.K. (1975) Controls of number of bird species on montane islands in the Great Basin. Evolution, 29, 545-567."
185,Kelt(2000),"Kelt, D.A. (2000) Small mammal communities in rainforest fragments in central southern Chile. Biological Conservation, 92, 345-358."
186,Kitchener et al (1980) lizards ,"Kitchener, D.J., Chapman, A., Dell, J., Muir, B.G. & Palmer, M. (1980) Lizard assemblage and reserve size and structure in the Western Australian wheatbelt — some implications for conservation. Biological Conservation, 17, 25-62."
187,kitchener et al (1980) mammals ,"Kitchener, D.J., Chapman, A., Muir, B.G. & Palmer, M. (1980) The conservation value for mammals of reserves in the western Australian wheatbelt. Biological Conservation, 18, 179-207."
188,Kratter(1992),"Kratter, A.W. (1992) Montane avian biogeography in southern California and Baja California. Journal of Biogeography, 19, 269-283."
189,Langrand (1995) ,"Langrand, O. (1995) The effects of forest fragmentation on bird species in Madagascar: a case study from Ambohitantely Forest Reserve on the central high plateau. University of Natal, Pietermaritzburg."
190,Lomolino & Davis (1997) ,"Lomolino, M.V. & Davis, R. (1997) Biogeographic scale and biodiversity of mountain forest mammals of western North America. Global Ecology and Biogeography Letters, 6, 57-76."
191,Lomolino & Perault (2001) ,"Lomolino, M. V., & Perault, D. R. (2001). Island biogeography and landscape ecology of mammals inhabiting fragmented, temperate rain forests. Global Ecology and Biogeography, 10, 113-132."
192,Lomolino et al (1989) ,"Lomolino, M.V., Brown, J.H. & Davis, R. (1989) Island biogeography of montane forest mammals in the American Southwest. Ecology, 70, 180-194."
193,Lumaretetal(1997),"Lumaret, R., Guillerm, J.-L., Maillet, J. & Verlaque, R. (1997) Plant species diversity and polyploidy in islands of natural vegetation isolated in extensive cultivated lands. Biodiversity and Conservation, 6, 591-613."
194,maldonado-coelhoandmarini(2003),"Maldonado-Coelho, M. & Marini, M.Â. (2000) Effects of forest fragment size and successional stage on mixed-species bird flocks in southeastern Brazil. The Condor, 102, 585-594."
195,marini (2001) ,"Marini, M.Â. (2001) Effects of forest fragmentation on birds of the Cerrado region, Brazil. Bird Conservation International, 11, 13-25."
196,Matthiae & Stearns (1981) ,"Matthiae, P.E. & Stearns, F. (1981) Mammals in forests islands in southeastern Wisconsin. Forest island dynamics in man-dominated landscapes. (ed. by R.L. Burgess and D.M. Sharpe), pp. 55-66.  Springer-Verlag, New York."
197,McCollin (1993) ,"McCollin, D. (1993) Avian distribution patterns in a fragmented wooded landscape (North Humberside, U.K.): the role of between-patch and within-patch structure. Global Ecology and Biogeography Letters, 3, 48-62."
198,meynard and quinn (2008) ,"Meynard, C.N. & Quinn, J.F. (2008) Bird metacommunities in temperate South American forest: vegetation structure, area, and climate effects. Ecology, 89, 981-990"
199,Miyashita et al (1998) Tokyp ,"Miyashita, T., Shinkai, A. & Chida, T. (1998) The effects of forest fragmentation on web spider communities in urban areas. Biological Conservation, 86, 357-364."
200,Miyashita et al (1998) Yokohoma ,"Miyashita, T., Shinkai, A. & Chida, T. (1998) The effects of forest fragmentation on web spider communities in urban areas. Biological Conservation, 86, 357-364."
201,mohd-alzan and Lawes (2011) BIRDS ,"Mohd-Azlan, J. & Lawes, M.J. (2011) The effect of the surrounding landscape matrix on mangrove bird community assembly in north Australia. Biological Conservation, 144, 2134-2141."
202,Newmark (1991) ,"Newmark, W.D. (1991) Tropical forest fragmentation and the local extinction of understory birds in the eastern Usambara Mountains, Tanzania. Conservation Biology, 5, 67-78."
203,Nores (1995) ,"Nores, M. (1995) Insular biogeography of birds on mountain-tops in north western Argentina. Journal of Biogeography, 22, 61-70."
204,nufio et al (2011) ,"Nufio, C., McClenahan, J. & Deane Bowers, M. (2011) Grasshopper response to reductions in habitat area as mediated by subfamily classification and life history traits. Journal of Insect Conservation, 15, 409-419."
205,Nyeko (2009) ,"Nyeko, P. (2009) Dung beetle assemblages and seasonality in primary forest and forest fragments on agricultural landscapes in Budongo, Uganda. Biotropica, 41, 476-484."
206,peltzer et al (2003) ,"Peltzer, P.M., Lajmanovich, R.C. & Beltzer, A.H. (2003) The effects of habitat fragmentation on amphibian species richness in the floodplain of the Middle Parana River, Argentina. Herpetological Journal, 13, 95-98."
207,pineda and Hlaffter (2004) ,"Pineda, E. & Halffter, G. (2004) Species diversity and habitat fragmentation: frogs in a tropical montane landscape in Mexico. Biological Conservation, 117, 499-508."
208,Ramanamanjato (2000) amphibians ,"Ramanamanjato, J.-B. (2000) Fragmentation effects on reptile and amphibian diversity in the littoral forest of southeastern Madagascar. Isolated vertebrate communities in the tropics. (ed. by G. Rheinwald), pp. 297-308. Zoologisches Forschungsinstitut und Museum A. Koenig, Bonn."
209,Ramanamanjato (2000) reptiles ,"Ramanamanjato, J.-B. (2000) Fragmentation effects on reptile and amphibian diversity in the littoral forest of southeastern Madagascar. Isolated vertebrate communities in the tropics. (ed. by G. Rheinwald), pp. 297-308. Zoologisches Forschungsinstitut und Museum A. Koenig, Bonn."
210,Ribas et al (2005) ,"Ribas, C.R., Sobrinho, T.G., Schoereder, J.H., Sperber, C.F., Lopes-Andrade, C. & Soares, S.M. (2005) How large is large enough for insects? Forest fragmentation effects at three spatial scales. Acta Oecologica, 27, 31-41."
211,rosenblatt et al (1999) ,"Rosenblatt, D.L., Heske, E.J., Nelson, S.L., Barber, D.M., Miller, M.A. & MacAllister, B. (1999) Forest Fragments in east-central Illinois: islands or habitat patches for mammals? The American Midland Naturalist, 141, 115-123."
212,Ruiz-Gutiérrez et al (2008) ,"Ruiz-Gutiérrez, V., Gavin, T.A. & Dhondt, A.A. (2008) Habitat fragmentation lowers survival of a tropical forest bird. Ecological Applications, 18, 838-846."
213,Schreeve & Mason (1980) ,"Shreeve, T.G. & Mason, C.F. (1980) The number of butterfly species in woodlands. Oecologia, 45, 414-418."
214,Silva (2001),"Silva, M. (2001) Abundance, diversity, and community structure of small mammals in forest fragments in Prince Edward Island National Park, Canada. Canadian Journal of Zoology, 79, 2063-2071."
215,Silvaz & Porto (2009) ,"Silva, M. & Pôrto, K. (2009) Effect of fragmentation on the community structure of epixylic bryophytes in Atlantic Forest remnants in the northeast of Brazil. Biodiversity and Conservation, 18, 317-337."
216,Simberloffz & Martin (1991) forest ,"Simberloff, D. & Martin, J.L. (1991) Nestedness of insular avifaunas: simple summary statistics masking complex species patterns. Ornis Fennica, 68, 178-192."
217,Smith et al (1996) ,"Smith, G.T., Arnold, G.W., Sarre, S., Abensperg-Traun, M. & Steven, D.E. (1996) The effect of habitat fragmentation and livestock grazing on animal communities in remnants of gimlet Eucalyptus salubris woodland in the western Australian wheatbelt. II. Lizards. Journal of Applied Ecology, 33, 1302-1310."
218,Suarezetal(1998),"Suarez, A.V., Bolger, D.T. & Case, T.J. (1998) Effects of fragmentation and invasion on native ant communities in coastal southern California. Ecology, 79, 2041-2056."
219,Summerville et al (2002) ,"Summerville, K.S., Veech, J.A. & Crist, T.O. (2002) Does variation in patch use among butterfly species contribute to nestedness at fine spatial scales? Oikos, 97, 195-204."
220,Matthews et al (2016),"Matthews, T. J., Guilhaumon, F., Triantis, K. A., Borregaard, M. K., & Whittaker, R. J. (2016). On the form of species–area relationships in habitat islands and true islands. Global Ecology and Biogeography, 25, 847–858 "
221,Matthews et al (2016),"Matthews, T. J., Guilhaumon, F., Triantis, K. A., Borregaard, M. K., & Whittaker, R. J. (2016). On the form of species–area relationships in habitat islands and true islands. Global Ecology and Biogeography, 25, 847–858 "
222,Matthews et al (2016),"Matthews, T. J., Guilhaumon, F., Triantis, K. A., Borregaard, M. K., & Whittaker, R. J. (2016). On the form of species–area relationships in habitat islands and true islands. Global Ecology and Biogeography, 25, 847–859"
223,Matthews et al (2016),"Matthews, T. J., Guilhaumon, F., Triantis, K. A., Borregaard, M. K., & Whittaker, R. J. (2016). On the form of species–area relationships in habitat islands and true islands. Global Ecology and Biogeography, 25, 847–860"
224,Tonn & Magnuson (1982) ,"Tonn, W.M. & Magnuson, J.J. (1982) Patterns in the species composition and richness of fish assemblages in northern Wisconsin lakes. Ecology, 63, 1149-1166."
225,Usher & Keiller (1998) ,"Usher, M.B. & Keiller, S.W.J. (1998) The macrolepidoptera of farm woodlands: determinants of diversity and community structure. Biodiversity and Conservation, 7, 725-748."
226,Vallan (2000) ,"Vallan, D. (2000) Influence of forest fragmentation on amphibian diversity in the nature reserve of Ambohitantely, highland Madagascar. Biological Conservation, 96, 31-43."
227,viveirosdeCastro&Fernandez(2004),"Viveiros de Castro, E.B. & Fernandez, F.A.S. (2004) Determinants of differential extinction vulnerabilities of small mammals in Atlantic forest fragments in Brazil. Biological Conservation, 119, 73-80."
228,Wang et al (2010) amammals ,"Wang, Y., Bao, Y., Yu, M., Xu, G. & Ding, P. (2010) Nestedness for different reasons: the distributions of birds, lizards and small mammals on islands of an inundated lake. Diversity and Distributions, 16, 862-873."
229,Wang et al (2010) BIRDS ,"Wang, Y., Bao, Y., Yu, M., Xu, G. & Ding, P. (2010) Nestedness for different reasons: the distributions of birds, lizards and small mammals on islands of an inundated lake. Diversity and Distributions, 16, 862-873."
230,watson (2003) ,"Watson, D.M. (2003) Long-term consequences of habitat fragmentation–highland birds in Oaxaca, Mexico. Biological Conservation, 111, 283-303."
231,Weaver & Kellman (1981) ,"Weaver, M. & Kellman, M. (1981) The effects of forest fragmentation on woodlot tree biotas in southern Ontario. Journal of Biogeography, 8, 199-210."
232,Wilson et al (1994) ,"Willson, M.F., De Santo, T.L., Sabag, C. & Armesto, J.J. (1994) Avian communities of fragmented south-temperate rainforests in Chile. Conservation Biology, 8, 508-520."
233,Yongetal(2011),"Yong, D. L., Qie, L., Sodhi, N. S., Koh, L. P., Peh, K. S.-H., Lee, T. M., . . . Lim, S. L.-H. (2011). Do insectivorous bird communities decline on land-bridge forest islands in peninsular Malaysia? Journal of Tropical Ecology, 27, 1-14."
234,zimmerman and bierregaard (1986) ,"Zimmerman, B.L. & Bierregaard, R.O. (1986) Relevance of the equilibrium-theory of island biogeography and species area relations to conservation with a case from Amazonia. Journal of Biogeography, 13, 133-143."
235,Daily et al (2001) birds,"Daily, G. C., Ehrlich, P. R., & Sánchez-Azofeifa, G. A. (2001). Countryside biogeography: use of human-dominated habitats by the avifauna of southern Costa Rica. Ecological Applications, 11, 1-13."
236,Fernandez & simonetti (2013) rural,"Fernández, I., & Simonetti, J. (2013). Small mammal assemblages in fragmented shrublands of urban areas of Central Chile. Urban Ecosystems, 16, 377-387."
237,Fernandez & simonetti (2013) urban,"Fernández, I., & Simonetti, J. (2013). Small mammal assemblages in fragmented shrublands of urban areas of Central Chile. Urban Ecosystems, 16, 377-387."
238,Hernandez-Perez & Solano (2015) orchids Chica,"Hernández-Pérez, E., & Solano, E. (2015). Effects of habitat fragmentation on the diversity of epiphytic orchids from a montane forest of southern Mexico. Journal of Tropical Ecology, 31, 103-115."
239,Hernandez-Perez & Solano (2015) orchids SAN MARTIN,"Hernández-Pérez, E., & Solano, E. (2015). Effects of habitat fragmentation on the diversity of epiphytic orchids from a montane forest of southern Mexico. Journal of Tropical Ecology, 31, 103-115."
240,justino et al (2016) tiphiidae,"Justino, C. E. L., dos Santos, E. F., & Noll, F. B. (2016). Diversity of Tiphiidae (Insecta: Hymenoptera) in the fragmented Brazilian semi-deciduous Atlantic Forest. Journal of Insect Conservation, 20, 417-431."
241,Koh et al (2015) plants korea,"Koh, I., Reineking, B., Park, C.-R., & Lee, D. (2015). Dispersal potential mediates effects of local and landscape factors on plant species richness in maeulsoop forests of Korea. Journal of Vegetation Science, 26, 631-642."
242,Lee et al (2015) urban amphibs,"Lee, C. M., Park, J. W., Kwon, T.-S., Kim, S.-S., Ryu, J. W., Jung, S. J., & Lee, S. K. (2015). Diversity and density of butterfly communities in urban green areas: an analytical approach using GIS. Zoological Studies, 54, 4."
243,Lion et al (2016) reptiles,"Lion, M. B., Garda, A. A., Santana, D. J., & Fonseca, C. R. (2016). The Conservation Value of Small Fragments For Atlantic Forest Reptiles. Biotropica, 48, 265-275."
244,Lira et al (2016) brazil scorpions,"Lira, A. F. A., de Araújo, V. L. N., DeSouza, A. M., Rego, F. N. A. A., & Albuquerque, C. M. R. (2016). The effect of habitat fragmentation on the scorpion assemblage of a Brazilian Atlantic Forest. Journal of Insect Conservation, 20, 457-466."
245,Magioli et al (2016) mammals,"Magioli, M., Ferraz, K. M. P. M. d. B., Setz, E. Z. F., Percequillo, A. R., Rondon, M. V. d. S. S., Kuhnen, V. V., . . . Rodrigues, M. G. (2016). Connectivity maintain mammal assemblages functional diversity within agricultural and fragmented landscapes. European Journal of Wildlife Research, 62, 431-446."
246,Pires et al (2002) small mammals,"Pires, A. S., Koeler Lira, P., Fernandez, F. A. S., Schittini, G. M., & Oliveira, L. C. (2002). Frequency of movements of small mammals among Atlantic Coastal Forest fragments in Brazil. Biological Conservation, 108, 229-237."
247,Salomão & Ianunuzzi (2015) dung beetles,"Salomão, R. P., & Iannuzzi, L. (2015). Dung beetle (Coleoptera, Scarabaeidae) assemblage of a highly fragmented landscape of Atlantic forest: from small to the largest fragments of northeastern Brazilian region. Revista Brasileira de Entomologia, 59, 126-131."
248,sharma et al (2014) primates,"Sharma, N., Madhusudan, M. D., & Sinha, A. (2014). Local and landscape correlates of primate distribution and persistence in the remnant lowland rainforests of the Upper Brahmaputra Valley, Northeastern India. Conservation Biology, 28, 95-106."
249,silveira et al (2003) birds and sp lists,"Silveira, L. F., Olmos, F., & Long, A. J. (2003). Birds in Atlantic Forest fragments in north-east Brazil. Cotinga, 20, 32-46."
250,slancarova et al (2014) butterflies,"Slancarova, J., Benes, J., Kristynek, M., Kepka, P., & Konvicka, M. (2014). Does the surrounding landscape heterogeneity affect the butterflies of insular grassland reserves? A contrast between composition and configuration. Journal of Insect Conservation, 18, 1-12."
251,ulrich & zalewski (2006),"Ulrich, W., & Zalewski, M. (2006). Abundance and co-occurrence patterns of core and satellite species of ground beetles on small lake islands. Oikos, 114, 338-348."
252,van Halder et al (2015) all species,"van Halder, I., Barnagaud, J.-Y., Jactel, H., & Barbaro, L. (2015). Woodland habitat quality prevails over fragmentation for shaping butterfly diversity in deciduous forest remnants. Forest Ecology and Management, 357, 171-180."
253,wang et al (2013) birds (resident and breeding),"Wang, Y., Ding, P., Chen, S., & Zheng, G. (2013). Nestedness of bird assemblages on urban woodlots: Implications for conservation. Landscape and Urban Planning, 111, 59-67."
254,wang et al (2013) birds (winter),"Wang, Y., Ding, P., Chen, S., & Zheng, G. (2013). Nestedness of bird assemblages on urban woodlots: Implications for conservation. Landscape and Urban Planning, 111, 59-67."
